,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2018,9/23/18,3,3,27.179,OAK,@,MIA,L 20-28,*,27,39,69.23,345,1,2,83.8,3,20,8.85,7.05,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
68,2018,9/30/18,4,4,27.186,OAK,,CLE,W 45-42,*,35,58,60.34,437,4,2,92.4,3,11,7.53,7.36,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,92,100%,0,0%,0,0%,
69,2018,10/7/18,5,5,27.193,OAK,@,LAC,L 10-26,*,24,33,72.73,268,1,1,94,3,20,8.12,7.36,1,5,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
70,2018,10/14/18,6,6,27.2,OAK,,SEA,L 3-27,*,23,31,74.19,142,0,0,83,6,36,4.58,4.58,4,31,7.75,0,0,0,0,,0,0.00%,,0,0,2,2,0,0,0,0,60,100%,0,0%,0,0%,
71,2018,10/28/18,7,8,27.214,OAK,,IND,L 28-42,*,21,28,75,244,3,0,136.6,0,0,8.71,10.86,2,0,0,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,50,100%,0,0%,0,0%,
72,2018,11/1/18,8,9,27.218,OAK,@,SFO,L 3-34,*,16,21,76.19,171,0,0,99.5,7,32,8.14,8.14,3,5,1.67,0,0,0,0,,0,0.00%,,0,0,2,0,0,1,0,0,47,82%,0,0%,0,0%,
73,2018,11/11/18,9,10,27.228,OAK,,LAC,L 6-20,*,24,37,64.86,243,0,0,83.5,4,40,6.57,6.57,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,
74,2018,11/18/18,10,11,27.235,OAK,@,ARI,W 23-21,*,19,31,61.29,192,2,0,100.5,4,19,6.19,7.48,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
75,2018,11/25/18,11,12,27.242,OAK,@,BAL,L 17-34,*,16,34,47.06,194,1,0,74.9,3,12,5.71,6.29,0,0,,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,56,97%,0,0%,0,0%,
76,2018,12/2/18,12,13,27.249,OAK,,KAN,L 33-40,*,29,38,76.32,285,3,0,123.2,3,14,7.5,9.08,1,8,8,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,76,100%,0,0%,0,0%,
77,2018,12/9/18,13,14,27.256,OAK,,PIT,W 24-21,*,25,34,73.53,322,2,0,122.4,4,23,9.47,10.65,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,
78,2018,12/16/18,14,15,27.263,OAK,@,CIN,L 16-30,*,21,38,55.26,263,1,0,85.7,5,34,6.92,7.45,0,0,,0,1,1,-9,-9,0,100.00%,-9,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,
79,2018,12/24/18,15,16,27.271,OAK,,DEN,W 27-14,*,19,26,73.08,167,0,0,89.7,1,8,6.42,6.42,4,-3,-0.75,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-6,0,62,100%,0,0%,0,0%,
80,2018,12/30/18,16,17,27.277,OAK,@,KAN,L 3-35,*,24,33,72.73,185,0,2,60.8,3,20,5.61,2.88,0,0,,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,0,0,66,100%,0,0%,0,0%,
81,2019,9/9/19,1,1,28.165,OAK,,DEN,W 24-16,*,22,26,84.62,259,1,0,121,0,0,9.96,10.73,2,2,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
82,2019,9/15/19,2,2,28.171,OAK,,KAN,L 10-28,*,23,38,60.53,198,1,2,61.1,3,20,5.21,3.37,2,18,9,0,0,0,0,,0,0.00%,,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,
83,2019,9/22/19,3,3,28.178,OAK,@,MIN,L 14-34,*,27,34,79.41,242,2,1,103.7,4,28,7.12,6.97,1,0,0,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
84,2019,9/29/19,4,4,28.185,OAK,@,IND,W 31-24,*,21,31,67.74,189,2,0,105.4,1,0,6.1,7.39,2,-1,-0.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,-1,0,64,100%,0,0%,0,0%,
85,2019,10/6/19,5,5,28.192,OAK,,CHI,W 24-21,*,25,32,78.13,229,0,0,96.5,0,0,7.16,7.16,3,8,2.67,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,-16,0,72,100%,0,0%,0,0%,
86,2019,10/20/19,6,7,28.206,OAK,@,GNB,L 24-42,*,22,28,78.57,293,2,1,119.2,0,0,10.46,10.29,2,0,0,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,59,89%,0,0%,0,0%,
87,2019,10/27/19,7,8,28.213,OAK,@,HOU,L 24-27,*,18,30,60,285,3,0,125,0,0,9.5,11.5,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
88,2019,11/3/19,8,9,28.22,OAK,,DET,W 31-24,*,20,31,64.52,289,2,0,116.2,1,10,9.32,10.61,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,3,0,0,70,100%,0,0%,0,0%,
89,2019,11/7/19,9,10,28.224,OAK,,LAC,W 26-24,*,21,31,67.74,218,1,0,98.6,3,18,7.03,7.68,1,4,4,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
90,2019,11/17/19,10,11,28.234,OAK,,CIN,W 17-10,*,25,29,86.21,292,1,1,105.7,3,19,10.07,9.21,5,1,0.2,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,
91,2019,11/24/19,11,12,28.241,OAK,@,NYJ,L 3-34,*,15,27,55.56,127,0,1,52.5,1,7,4.7,3.04,1,11,11,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,42,72%,0,0%,0,0%,
92,2019,12/1/19,12,13,28.248,OAK,@,KAN,L 9-40,*,20,30,66.67,222,1,2,71.8,2,12,7.4,5.07,3,7,2.33,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,59,100%,0,0%,0,0%,
93,2019,12/8/19,13,14,28.255,OAK,,TEN,L 21-42,*,25,34,73.53,262,2,0,115.1,2,4,7.71,8.88,2,17,8.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
94,2019,12/15/19,14,15,28.262,OAK,,JAX,L 16-20,*,22,36,61.11,267,1,0,93.2,4,31,7.42,7.97,1,12,12,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
95,2019,12/22/19,15,16,28.269,OAK,@,LAC,W 24-17,*,26,30,86.67,291,1,0,118.2,3,24,9.7,10.37,1,3,3,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,
96,2019,12/29/19,16,17,28.276,OAK,@,DEN,L 15-16,*,29,46,63.04,391,1,0,97.3,2,11,8.5,8.93,1,0,0,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-2,0,73,100%,0,0%,0,0%,
97,2020,9/13/20,1,1,29.169,LVR,@,CAR,W 34-30,*,22,30,73.33,239,1,0,107.5,0,0,7.97,8.63,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
98,2020,9/21/20,2,2,29.177,LVR,,NOR,W 34-24,*,28,38,73.68,284,3,0,120.9,3,23,7.47,9.05,3,3,1,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-6,0,80,100%,0,0%,0,0%,
99,2020,9/27/20,3,3,29.183,LVR,@,NWE,L 20-36,*,24,32,75,261,2,0,119.4,2,12,8.16,9.41,2,10,5,0,0,0,0,,0,0.00%,,0,0,2,2,0,0,0,0,59,100%,0,0%,0,0%,
100,2020,10/4/20,4,4,29.19,LVR,,BUF,L 23-30,*,32,44,72.73,311,2,0,107.3,2,14,7.07,7.98,4,20,5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,
101,2020,10/11/20,5,5,29.197,LVR,@,KAN,W 40-32,*,22,31,70.97,347,3,1,126.7,1,1,11.19,11.68,4,1,0.25,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
102,2020,10/25/20,6,7,29.211,LVR,,TAM,L 20-45,*,24,36,66.67,284,2,1,97.5,3,13,7.89,7.75,2,19,9.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%,
